	AB1	AB1.1	AB1.2	AB1.3	AB1.4	AB1.5	AB2	AB2.1	AB2.2	AB2.3	AB2.4	AB2.5	AB3	AB3.1	AB3.2	AB3.3	AB3.4	Fe1	Fe1.1	Fe1.2	Fe1.3	Fe1.4	Fe1.5	Fe2	Fe2.1	Fe2.2	fe2	Fe2.3	Fe2.4	Fe3	Fe3.1	Fe3.2	Fe3.3	Fe3.4	Fe3.5	NL1	NL1.1	NL1.2	NL1.3	NL2	NL2.1	NL2.2	NL2.3	NL3	NL3.1	NL3.2	NL3.3	NL4	NL4.1	NL4.2	NL4.3	NL4.4	NL4.5	NL5	NL5.1	NL5.2	NL5.3	NL5.4	NL5.5	NL6	NL6.1	NL6.2	NL6.3	NL6.4	NL6.5	S1	S1.1	S1.2	S1.3	S1.4	S1.5	S2	S2.1	S2.2	S2.3	S2.4	S2.5	S3	S3.1	S3.2	S3.3	S3.4	S3.5
ASV_1	626	976	644	0	164	367	270	148	171	154	45	192	174	777	331	175	239	187	334	528	228	284	602	141	960	974	455	233	278	827	274	162	21	286	493	294	418	269	607	636	430	410	243	534	464	424	555	41	1578	639	569	678	536	37	421	392	720	797	411	586	676	604	427	31	16	9	501	493	518	406	400	675	738	602	734	172	840	1430	776	479	542	197	462
ASV_2	621	994	632	3	163	346	275	122	199	120	43	201	177	787	351	153	211	184	360	541	239	261	575	140	997	947	427	227	260	878	246	161	16	294	443	327	455	238	541	613	468	395	257	515	528	471	540	52	1639	579	586	697	525	33	421	352	785	805	426	608	670	537	410	26	14	11	529	433	484	392	390	784	729	575	686	161	781	1410	748	485	573	237	438
ASV_3	522	815	547	1	165	277	223	113	155	113	42	168	161	646	277	157	175	169	307	461	198	251	542	118	796	812	366	196	239	656	224	135	9	251	378	245	387	202	472	535	357	330	202	430	414	367	472	45	1287	528	509	574	459	17	376	297	600	672	347	489	499	471	332	28	9	9	413	383	376	321	327	567	603	517	633	109	668	1135	663	442	487	194	332
ASV_4	481	792	461	0	141	270	222	92	162	110	37	175	155	595	263	119	174	140	282	456	202	244	499	114	742	715	353	186	242	650	232	130	15	246	375	227	373	213	458	516	357	301	215	419	446	361	441	32	1291	504	458	559	445	31	336	280	602	672	339	523	514	438	360	21	4	2	386	361	397	315	305	540	590	456	607	121	672	1108	585	382	475	192	346
ASV_5	452	737	432	3	116	249	200	83	131	78	27	162	129	572	248	118	176	141	243	369	195	217	497	111	726	698	327	179	205	625	195	114	11	216	339	208	308	174	432	411	301	321	175	380	314	311	368	25	1150	483	434	545	393	16	310	225	512	598	276	412	464	430	279	27	11	4	350	315	360	264	308	569	565	425	546	113	558	1027	575	342	386	176	334
ASV_6	441	655	445	0	113	241	217	95	133	109	42	157	134	588	224	102	192	120	247	368	152	183	448	112	715	696	305	165	166	560	208	132	9	215	332	216	276	186	414	442	317	296	168	366	333	315	375	35	1202	397	390	485	358	31	299	244	534	547	280	425	466	441	294	19	7	3	387	292	326	265	247	481	504	407	497	111	578	963	584	304	405	174	295
ASV_7	393	589	431	0	115	237	194	78	101	90	24	141	122	459	221	95	123	101	237	344	149	183	437	95	663	641	296	128	165	553	172	95	15	173	271	168	245	127	391	432	293	253	148	310	304	254	355	24	1030	410	350	441	316	25	257	215	515	535	324	384	413	374	229	21	4	6	299	290	296	237	227	425	466	413	438	116	517	899	470	326	369	156	285
ASV_8	372	602	353	4	109	203	187	86	114	78	23	130	96	443	196	93	129	129	169	341	152	170	415	86	582	605	268	152	176	592	161	97	11	199	292	164	282	172	349	417	296	259	178	283	337	284	349	28	1034	393	321	415	383	21	293	248	442	499	260	390	405	323	288	21	4	4	302	263	326	247	245	466	490	359	430	99	529	898	474	283	412	139	250
ASV_9	373	581	390	0	125	191	193	87	104	80	29	125	113	463	212	106	138	109	225	327	141	167	362	115	601	642	279	114	172	495	154	119	14	150	271	169	258	127	340	390	267	219	154	306	281	279	338	19	968	385	349	427	329	27	253	221	430	506	251	409	412	352	272	21	7	6	321	308	319	197	260	439	442	379	407	86	483	771	473	304	351	123	260
ASV_10	408	580	376	0	114	198	177	76	123	69	22	141	71	426	197	89	137	101	200	294	122	145	374	79	606	555	234	132	214	671	137	84	7	167	254	148	289	148	338	371	278	244	143	273	307	235	341	35	936	345	320	313	317	18	263	285	508	485	212	330	420	315	348	17	2	3	322	273	272	256	211	500	475	359	441	81	484	886	435	338	407	124	233
ASV_11	384	618	386	0	121	205	165	85	120	97	21	118	113	443	218	107	116	96	206	314	145	152	377	75	566	555	273	137	147	489	144	102	8	173	298	173	226	140	299	379	296	263	142	316	265	270	335	23	892	394	344	400	320	19	263	190	402	469	241	317	393	327	235	12	7	3	269	272	278	231	257	451	436	352	457	97	479	777	455	275	362	133	255
ASV_12	355	557	322	1	92	192	171	69	114	77	24	110	120	420	195	87	114	107	205	270	130	153	355	78	558	503	231	139	138	433	149	80	8	196	280	170	214	119	302	328	262	210	160	279	269	258	315	27	852	337	292	392	267	11	245	180	455	440	229	333	372	324	230	10	8	8	282	251	258	202	203	376	346	341	421	87	483	761	381	259	310	119	249
ASV_13	330	482	337	0	90	200	176	64	104	87	28	129	82	412	163	81	124	68	177	274	103	105	321	73	515	446	205	128	186	558	110	87	11	157	255	154	238	134	342	327	228	213	134	258	305	229	297	35	836	287	290	311	251	15	226	282	415	432	185	355	365	278	298	18	10	7	271	234	250	205	218	427	394	313	359	64	462	725	384	285	361	114	205
ASV_14	356	520	332	2	124	173	160	55	114	68	22	122	118	402	150	86	118	88	186	263	114	159	357	80	529	512	250	124	150	410	140	105	8	150	234	149	205	129	282	314	233	208	151	275	263	226	265	17	729	302	305	355	253	13	241	185	411	408	221	335	319	280	214	19	5	6	280	215	255	207	176	373	410	327	362	80	406	687	374	242	331	129	220
ASV_15	327	539	297	3	100	159	150	71	85	77	13	117	81	395	164	90	93	96	197	270	124	146	367	75	487	531	231	132	152	407	130	67	13	145	241	172	195	116	260	306	228	221	128	261	270	232	285	20	834	310	280	339	279	17	218	174	390	395	228	318	305	312	188	13	6	1	234	204	249	203	194	360	354	317	381	80	416	729	371	239	287	107	231
ASV_16	324	501	308	1	83	172	137	51	86	74	24	101	96	340	162	79	93	91	156	262	111	144	298	58	480	468	231	97	132	420	133	72	12	154	249	101	207	111	280	312	229	173	101	242	236	210	281	21	754	307	257	297	240	11	190	173	346	383	195	291	300	278	227	13	4	5	249	181	228	199	183	335	364	299	369	81	420	702	366	248	306	105	193
ASV_17	276	432	280	3	71	160	129	68	91	41	6	101	89	351	151	78	92	67	167	243	88	133	268	68	482	430	212	98	128	418	122	78	6	122	206	151	209	120	268	313	191	200	111	226	256	203	266	17	739	260	259	273	271	9	231	159	387	378	164	274	315	291	219	14	1	2	215	204	232	164	184	309	313	266	328	66	341	646	327	219	281	109	186
ASV_18	246	425	242	2	62	130	141	36	80	62	12	99	67	302	111	48	73	74	130	208	84	118	252	64	393	364	186	77	115	359	108	62	13	128	188	110	163	79	257	222	147	133	99	183	182	187	213	19	636	230	232	258	196	11	134	130	311	298	128	244	255	226	189	11	2	7	196	205	176	153	169	290	276	247	302	63	346	504	281	188	260	87	163
ASV_19	0	264	308	0	761	224	0	51	500	563	207	240	0	2	38	409	380	2	337	668	217	300	172	2	307	183	187	111	222	2	202	448	137	209	147	0	322	410	281	13	51	211	100	1	151	103	45	0	0	0	0	1	1	2	0	1	0	2	0	30	34	34	0	11	1	3	25	138	278	84	141	0	18	92	147	3	279	6	44	9	4	0	1
ASV_20	0	281	285	0	728	212	0	60	529	544	166	202	0	2	36	445	404	2	312	667	229	296	187	5	278	188	180	96	195	1	167	416	152	233	134	0	324	358	274	7	45	231	95	0	148	98	46	2	1	0	0	3	0	0	1	1	0	1	1	17	44	34	2	5	2	0	20	127	221	81	143	2	20	77	147	9	263	2	54	12	1	0	0
ASV_21	182	159	72	0	28	15	215	200	72	5	36	37	305	27	17	84	25	91	166	122	16	15	13	219	72	34	11	18	9	797	24	12	2	9	7	335	91	30	25	489	28	7	9	246	36	10	5	519	33	29	11	25	5	701	137	71	76	113	33	846	24	10	237	10	598	516	92	90	29	15	14	573	175	19	26	5	19	68	11	8	12	3	11
ASV_22	0	235	272	1	639	208	2	46	436	518	185	197	1	2	23	378	304	1	281	585	218	280	158	2	287	150	171	84	170	1	204	387	109	211	126	0	283	325	235	11	48	170	99	2	136	94	33	0	2	4	0	1	0	1	0	2	0	1	2	19	45	15	4	4	0	0	25	90	206	78	129	1	13	81	112	4	197	6	30	3	4	2	2
ASV_23	165	112	62	1	29	13	226	194	69	9	31	35	259	15	11	82	16	82	156	121	15	9	10	234	59	21	3	10	4	711	26	12	0	6	5	351	83	27	19	459	17	8	7	233	39	17	8	567	36	22	11	19	2	659	139	57	70	80	27	870	18	11	195	9	601	487	90	77	21	12	6	565	165	15	32	5	16	76	4	7	3	5	15
ASV_24	10	175	175	0	79	24	1	12	33	134	38	154	1	2	238	78	133	0	795	212	32	39	53	1	50	85	35	561	77	3	102	367	55	44	38	3	99	37	15	1	24	118	90	1	48	61	37	1	91	261	106	190	30	4	6	71	200	315	195	7	10	14	209	19	5	1	40	318	170	113	71	1	425	93	262	87	133	9	41	130	369	204	344
ASV_25	0	252	233	2	542	184	0	55	426	475	142	179	0	2	37	337	297	0	249	513	202	248	135	2	236	131	156	84	169	0	147	375	115	196	111	0	228	272	198	8	40	170	94	0	124	68	49	0	0	0	0	0	1	1	1	2	0	0	1	17	31	22	1	5	0	2	14	121	206	81	122	0	11	69	104	4	201	0	46	6	4	0	0
ASV_26	5	135	157	0	80	33	2	9	37	110	32	143	4	6	250	73	122	0	687	205	25	44	58	1	62	74	28	487	61	5	87	323	51	28	44	2	97	42	18	0	22	104	87	0	42	54	43	1	97	266	113	198	38	0	8	67	200	271	195	5	5	13	215	18	1	0	51	305	148	87	44	0	417	71	236	87	150	7	39	142	372	189	329
ASV_27	0	198	235	1	522	145	0	34	408	435	149	166	1	2	25	331	257	1	218	475	195	213	149	2	271	128	145	72	164	1	152	361	84	175	123	0	235	302	179	7	24	176	89	0	111	84	37	0	0	0	0	1	0	0	0	0	0	0	0	12	31	27	1	10	0	0	18	84	192	63	122	1	16	60	108	6	165	1	45	6	3	1	0
ASV_28	1	189	234	1	562	150	0	41	344	431	118	175	1	2	29	323	290	1	229	485	223	244	139	1	227	132	150	78	143	1	128	346	109	172	123	0	241	285	177	9	46	157	86	0	113	86	43	1	0	0	0	3	0	2	0	0	2	0	1	12	29	16	1	4	0	1	19	95	180	86	120	0	11	53	82	5	196	2	24	4	5	0	1
ASV_29	157	117	56	0	35	15	185	148	61	8	39	44	253	20	18	67	24	63	123	101	19	13	16	180	68	14	9	14	9	647	27	11	4	7	15	278	83	20	22	385	23	11	5	182	28	19	7	485	30	27	4	16	5	547	122	39	56	71	28	730	18	11	200	11	528	417	104	65	23	13	3	492	135	18	29	7	13	47	7	8	11	3	13
ASV_30	141	228	158	0	31	60	76	25	28	19	3	26	37	129	61	23	28	62	88	132	57	78	175	39	172	184	72	29	43	203	41	20	5	59	67	71	82	45	119	137	87	97	77	91	100	84	118	9	216	74	89	84	69	7	84	73	187	169	80	167	151	142	95	7	1	5	148	130	124	110	84	128	126	107	125	28	162	301	178	91	113	36	85
ASV_31	151	104	44	0	15	16	164	139	62	2	40	32	242	14	15	72	18	64	116	81	9	4	12	180	48	20	8	8	5	612	32	4	2	5	6	278	69	13	16	347	16	7	12	180	22	11	7	462	28	24	7	18	2	576	106	31	50	79	22	705	15	11	169	13	459	444	87	63	31	10	5	477	133	7	25	5	14	59	6	2	5	5	13
ASV_32	181	233	175	0	21	67	74	19	33	17	5	22	38	121	64	26	37	56	75	110	62	53	151	30	159	195	106	32	65	207	26	33	5	40	72	60	70	44	117	138	110	114	73	98	100	101	116	8	214	74	74	80	71	6	92	95	182	162	70	175	167	139	97	9	4	2	135	104	122	105	91	144	139	114	120	26	132	305	167	79	89	45	75
ASV_33	5	127	155	0	77	26	1	16	29	99	27	115	3	3	201	66	127	0	605	168	20	34	43	0	39	69	23	430	67	5	73	346	47	38	35	0	66	33	15	2	14	94	81	0	40	39	35	2	92	228	106	144	29	0	8	70	169	255	176	5	6	16	169	16	4	2	35	300	140	86	49	3	318	69	215	88	125	7	35	112	348	169	312
ASV_34	4	122	134	0	71	23	0	11	22	100	20	129	2	0	183	51	101	1	592	153	28	31	33	3	38	51	32	451	56	1	70	339	61	40	32	1	60	40	11	1	9	69	82	1	43	48	31	1	107	185	94	137	29	2	7	53	158	233	182	3	8	17	174	23	0	0	28	248	144	57	44	2	332	69	197	89	104	3	33	111	343	165	271
ASV_35	157	102	50	1	21	11	154	116	62	13	27	34	207	16	16	49	20	66	127	96	14	4	10	171	46	20	2	8	8	570	31	7	4	10	4	258	68	18	11	357	18	7	5	164	28	7	7	407	24	14	8	17	3	512	104	30	37	69	32	637	18	9	158	10	459	387	86	49	22	11	9	464	126	18	13	5	12	51	9	3	5	1	7
ASV_36	0	178	207	1	470	139	2	43	320	377	113	139	0	2	18	298	249	1	213	419	165	247	119	2	209	119	132	79	144	0	116	301	85	144	75	0	197	212	157	5	30	147	76	0	90	75	19	0	0	0	0	0	0	1	0	1	0	0	0	16	25	17	1	4	0	0	19	68	173	46	93	0	11	55	84	4	148	1	35	9	5	0	2
ASV_37	156	109	43	0	22	4	128	136	48	3	13	27	233	14	12	48	12	52	118	90	8	6	12	166	37	22	2	6	1	594	25	6	1	5	6	249	77	13	15	345	15	13	3	160	26	12	5	365	21	29	5	23	2	547	114	40	41	66	18	672	9	8	130	12	427	385	68	54	29	5	4	432	126	9	12	3	8	57	7	0	3	1	5
ASV_38	0	161	220	0	479	146	1	30	344	371	101	143	0	4	18	293	218	1	162	425	165	184	140	2	198	104	110	70	134	0	136	273	112	144	100	0	182	227	167	12	32	141	61	0	100	83	27	0	2	1	0	1	0	0	0	1	0	0	0	6	14	19	1	2	0	0	19	74	148	59	95	0	17	51	72	4	151	0	32	15	2	0	0
ASV_39	0	172	183	0	470	144	0	44	310	352	104	127	0	0	26	233	219	1	202	410	151	205	107	0	195	102	90	58	188	0	117	292	100	140	83	0	195	259	137	12	31	141	64	0	111	68	38	1	0	0	0	0	0	1	1	0	0	1	0	11	28	12	1	5	1	0	12	72	176	76	91	0	16	54	78	1	163	1	39	4	2	0	2
ASV_40	0	162	189	1	457	149	0	33	280	379	118	137	0	2	18	284	233	2	199	425	158	184	113	1	189	112	126	79	128	1	115	301	93	142	95	0	156	240	156	10	30	143	69	0	100	54	25	0	1	1	0	0	1	0	0	1	1	0	1	13	19	12	1	7	1	0	4	77	159	70	81	0	10	48	84	5	159	0	22	3	4	0	1
ASV_41	0	151	197	1	425	133	1	33	320	342	123	153	0	1	25	270	241	1	187	424	139	195	114	3	212	120	117	67	136	0	116	324	92	145	91	0	180	235	144	11	29	129	62	1	93	64	22	1	1	0	0	1	0	1	1	2	0	1	0	16	17	19	0	4	0	1	15	76	157	64	83	0	9	48	85	5	148	1	21	5	5	0	0
ASV_42	5	2	33	0	137	19	6	506	207	155	5	17	270	214	221	32	6	1	0	0	4	221	19	3	262	162	8	50	6	77	563	279	11	231	25	1	312	80	32	1	0	1	0	240	372	18	6	1	11	98	3	10	1	131	229	143	62	33	13	3	6	11	18	6	2	1	316	397	76	59	10	9	0	45	4	2	1	116	9	1	4	1	1
ASV_43	8	0	30	0	123	20	3	487	210	184	4	11	278	232	225	37	7	0	4	1	8	218	16	4	231	152	6	37	2	69	580	311	9	202	19	0	315	76	28	0	0	1	1	234	377	17	10	0	9	84	8	7	1	125	245	129	59	35	13	3	9	6	15	3	1	1	312	398	87	58	6	4	0	62	3	0	3	116	1	1	0	1	0
ASV_44	4	112	116	0	53	29	2	14	32	105	27	111	4	3	178	51	94	1	523	157	20	33	35	3	35	55	19	395	43	2	65	271	61	27	27	0	51	22	17	1	13	80	65	1	38	37	28	0	83	215	75	145	24	0	4	39	160	234	143	3	7	11	170	21	3	1	34	237	116	65	39	0	298	64	192	81	96	2	24	98	287	142	284
ASV_45	3	111	120	0	69	20	1	16	33	103	29	101	1	0	157	57	90	1	565	162	22	40	39	0	30	43	16	387	62	1	65	259	41	31	22	1	55	36	9	1	12	77	60	0	27	40	27	0	81	188	91	166	20	1	5	44	143	229	166	3	10	8	152	15	2	0	31	236	124	66	41	0	324	63	184	66	111	2	30	100	269	133	263
ASV_46	123	214	137	0	24	62	67	20	26	15	4	18	28	104	50	22	29	38	66	94	48	41	130	33	165	161	76	28	41	153	31	12	3	51	74	51	83	35	101	146	92	93	60	90	67	92	91	6	171	75	65	67	67	4	91	58	165	176	77	121	134	106	83	8	3	3	112	75	93	106	88	103	115	77	105	26	145	234	127	75	83	50	61
ASV_47	129	200	144	0	20	43	58	17	29	14	2	16	23	97	35	29	29	38	76	103	50	58	123	34	118	175	69	22	34	181	27	19	5	41	48	48	59	35	83	130	91	82	59	81	95	83	97	7	158	70	78	71	70	8	70	79	155	142	62	148	136	86	76	5	0	1	135	99	118	68	63	105	97	72	121	21	122	236	166	82	90	42	72
ASV_48	0	161	181	1	421	122	0	33	302	334	107	149	0	1	26	241	223	2	154	372	153	182	127	0	188	104	113	46	105	0	93	213	85	135	80	1	168	228	148	2	28	123	67	0	101	65	25	0	0	0	0	0	0	2	0	0	0	2	0	14	12	10	1	4	1	0	16	62	139	54	89	0	8	54	79	4	136	1	22	4	5	0	1
ASV_49	123	87	39	0	13	11	106	129	37	6	19	26	167	10	16	52	12	56	100	74	12	5	7	145	40	19	3	8	6	561	15	2	0	4	5	210	58	16	8	319	8	5	11	112	35	9	4	414	26	18	3	9	1	448	96	35	34	62	13	534	9	13	128	9	402	336	73	62	21	13	5	364	113	7	25	5	9	31	8	5	5	1	13
ASV_50	2	82	134	1	65	191	2	29	108	91	37	295	0	54	56	47	128	0	12	70	52	44	183	0	53	154	76	109	100	4	8	18	9	110	184	2	5	26	96	3	26	66	98	3	9	39	67	0	23	81	109	280	334	0	3	48	58	59	37	16	75	53	17	15	0	2	20	86	97	218	254	2	81	88	128	31	242	1	73	91	195	76	201
ASV_51	110	92	25	0	18	9	135	99	55	8	18	25	147	8	12	43	12	49	96	66	5	6	8	133	34	17	1	11	4	670	17	2	2	5	6	205	69	20	10	313	9	3	2	131	38	8	1	449	23	20	2	7	4	348	74	44	50	54	18	443	9	8	163	5	425	330	61	48	20	8	5	425	107	4	19	4	7	42	3	2	6	0	6
ASV_52	105	93	36	0	16	8	140	101	58	5	24	26	179	14	6	54	14	48	89	89	4	3	6	133	38	17	4	6	6	532	19	6	1	4	10	193	50	24	12	297	8	6	3	147	24	11	2	389	20	15	10	12	2	444	110	24	41	60	17	530	6	11	135	3	397	304	58	47	13	7	6	386	111	11	23	3	8	41	6	3	1	3	6
ASV_53	0	134	156	2	388	117	0	34	289	318	93	124	0	1	22	241	226	3	170	363	139	168	94	2	187	116	112	61	124	1	86	259	72	129	77	0	160	203	120	15	35	141	50	0	89	67	29	0	0	0	1	0	0	2	0	0	0	0	0	12	26	12	1	5	2	0	9	74	152	59	68	2	9	35	65	1	119	1	22	5	2	1	0
ASV_54	98	81	52	0	20	12	126	126	46	4	22	30	189	12	10	43	15	57	107	65	11	7	13	150	41	18	5	9	12	496	15	6	3	4	3	201	62	12	17	290	19	9	4	123	20	7	2	356	23	17	3	7	6	473	81	27	37	64	27	537	7	7	120	5	354	319	63	47	18	10	3	389	99	11	21	3	9	45	13	6	2	6	12
ASV_55	2	66	121	1	57	165	1	27	116	110	49	329	0	54	37	46	105	0	20	76	40	42	156	0	63	123	62	89	109	2	13	17	8	105	173	0	6	26	109	0	32	62	87	1	12	36	76	0	27	86	128	259	349	0	2	49	52	70	48	14	46	45	21	10	2	1	19	79	84	204	235	0	70	77	101	25	264	1	76	79	220	70	228
ASV_56	4	99	120	0	55	22	0	4	24	75	31	91	1	5	154	52	80	1	543	127	23	29	25	0	29	45	14	335	44	1	72	216	48	17	30	0	49	22	11	1	14	59	69	0	32	36	17	0	64	186	73	118	17	1	3	43	137	212	145	5	7	12	134	16	1	1	21	223	123	65	51	1	299	57	150	67	76	5	22	85	252	125	229
ASV_57	1	158	158	0	403	135	0	23	259	308	102	136	2	3	24	224	162	1	155	352	144	178	108	0	183	86	99	52	105	0	93	252	71	122	68	0	156	193	117	3	21	121	56	0	103	43	30	0	0	0	0	1	0	0	0	1	0	2	0	22	16	22	0	0	0	0	9	84	133	48	86	0	4	47	80	5	143	1	22	3	6	0	1
ASV_58	4	1	21	1	98	16	5	448	160	151	5	5	237	192	207	25	12	1	1	1	7	183	15	2	217	149	5	35	6	53	461	245	8	212	13	0	240	59	20	1	1	1	1	220	326	18	8	4	12	79	2	7	1	125	201	116	49	28	19	2	6	3	11	7	1	2	277	344	77	57	9	5	1	53	5	0	2	99	4	2	1	1	3
ASV_59	5	98	127	0	72	29	1	7	22	84	13	102	3	1	143	38	89	1	477	135	19	27	29	2	38	48	20	334	48	4	61	235	37	27	23	1	54	25	6	0	12	67	60	0	32	34	14	1	65	181	78	130	30	3	3	56	133	180	115	3	7	6	136	11	2	0	26	203	113	49	39	2	283	56	169	49	91	4	18	88	250	137	251
ASV_60	135	75	37	0	13	12	114	126	50	7	29	22	180	13	13	43	9	58	95	72	10	8	11	145	30	16	3	6	5	450	11	3	1	4	5	213	52	17	14	246	15	7	0	142	30	13	9	341	26	21	6	13	2	428	86	28	41	52	12	523	10	10	120	10	343	286	45	51	18	10	4	401	101	7	16	3	9	50	2	3	5	3	9
ASV_61	106	172	113	0	30	53	69	17	22	15	6	12	24	83	49	20	34	39	66	94	57	50	135	14	136	126	54	34	39	125	38	16	3	49	50	45	64	36	71	98	82	82	66	74	76	70	77	4	161	73	61	63	67	5	72	51	125	147	66	115	116	107	84	7	1	3	91	80	109	71	80	93	74	75	96	17	142	207	134	75	77	48	64
ASV_62	4	92	108	2	57	21	0	13	20	81	22	81	2	3	155	50	88	0	464	142	14	29	38	1	36	41	25	339	48	1	59	234	44	30	18	0	49	39	15	2	15	64	61	0	30	33	26	2	66	174	59	115	25	1	8	52	121	180	119	7	7	8	119	10	2	0	26	218	94	51	43	0	303	56	151	61	105	2	22	86	227	137	227
ASV_63	116	183	109	0	15	41	60	25	23	16	3	16	31	98	40	8	21	39	54	85	48	40	118	27	116	115	67	25	32	142	31	15	4	41	54	41	66	38	82	125	79	80	49	85	60	73	100	6	161	67	61	71	50	6	57	45	130	128	58	112	113	96	67	6	0	2	83	91	83	79	83	103	93	89	106	19	119	240	119	76	88	29	62
ASV_64	0	142	183	0	364	119	0	18	255	277	80	112	1	1	15	182	189	0	142	323	115	141	91	0	144	111	82	67	139	1	95	247	75	119	50	1	193	233	143	2	33	106	54	0	89	50	18	0	0	0	0	0	0	0	0	0	0	1	0	15	26	15	1	5	1	1	14	70	145	55	69	0	12	49	52	2	131	1	21	5	1	0	0
ASV_65	5	113	110	0	75	26	2	11	26	64	21	79	0	2	136	53	67	0	493	120	23	26	33	0	34	47	24	336	45	4	75	257	36	18	32	1	45	27	17	1	9	55	53	1	26	32	27	0	78	136	66	124	13	2	3	47	157	220	122	1	12	10	106	13	1	0	33	212	101	54	33	2	277	42	138	49	85	1	26	70	230	122	210
ASV_66	5	94	115	0	59	20	2	5	22	75	23	79	0	5	146	44	80	0	475	116	16	24	31	0	27	53	14	316	69	1	46	207	41	17	23	0	41	27	17	1	14	65	56	0	34	34	23	0	73	151	60	100	23	0	4	68	127	182	113	3	7	17	165	11	1	1	17	201	89	55	39	0	287	48	145	56	99	8	26	111	288	116	218
ASV_67	2	142	192	2	367	111	0	28	268	277	102	122	1	2	26	226	175	0	157	333	112	155	103	1	144	81	96	53	118	2	108	239	65	108	72	0	158	194	116	11	39	107	61	0	74	55	15	0	0	0	0	0	0	1	0	0	1	1	2	10	28	20	0	4	0	0	11	69	120	48	80	0	6	32	64	3	103	0	23	5	0	0	2
ASV_68	107	77	32	0	14	9	127	91	42	6	16	21	179	8	6	36	12	51	85	69	6	4	7	130	37	8	5	3	3	479	22	5	0	2	4	181	62	17	15	277	14	7	1	132	32	8	2	293	19	12	2	13	1	429	78	27	46	51	18	488	6	4	115	3	341	282	54	42	14	13	8	340	100	14	20	2	15	47	6	3	5	3	9
ASV_69	7	1	24	1	98	15	4	405	176	147	5	5	242	191	186	30	8	0	2	2	2	191	12	0	215	124	3	37	3	47	447	190	8	198	18	0	259	55	17	0	0	0	0	183	276	12	8	2	13	66	8	4	1	109	192	103	43	28	14	5	9	8	8	2	1	0	224	363	73	40	10	2	0	63	6	0	1	97	1	2	2	0	1
ASV_70	1	143	143	1	361	123	0	31	267	286	104	113	1	1	22	201	161	0	145	296	113	159	113	1	174	100	100	48	107	1	103	235	64	114	52	0	155	184	122	5	29	103	49	0	72	37	19	0	0	0	0	0	0	1	0	0	0	1	0	6	17	18	1	5	2	0	10	65	127	46	67	0	17	45	56	0	119	0	19	3	1	0	2
ASV_71	2	70	88	0	47	152	7	16	115	77	48	269	2	52	33	43	93	0	5	66	38	38	134	0	34	101	67	86	94	3	11	10	6	90	154	2	5	26	80	3	32	60	81	1	8	46	48	1	27	92	122	250	291	1	6	36	35	58	57	16	46	41	21	11	2	1	25	93	100	189	199	0	63	85	97	25	225	1	66	93	154	63	171
ASV_72	7	3	24	0	79	12	6	377	155	130	2	11	206	153	194	34	3	0	0	0	6	158	10	0	206	143	2	34	4	58	403	245	9	198	10	1	242	52	26	0	0	0	0	178	274	14	8	0	11	77	2	2	0	97	195	90	27	25	17	2	1	8	7	2	2	1	218	309	67	38	10	6	0	38	4	0	0	67	1	1	0	0	0
ASV_73	8	3	30	0	88	14	5	401	155	147	2	15	188	184	174	27	6	0	3	2	4	155	17	1	221	121	5	41	2	52	394	228	6	160	13	0	230	48	25	1	0	1	0	199	250	10	5	0	15	61	4	1	0	82	174	96	40	35	9	0	6	7	7	5	0	0	250	312	54	41	2	5	1	52	5	0	1	74	3	2	0	0	1
ASV_74	106	75	26	0	28	9	100	84	54	6	19	25	152	7	6	32	13	37	75	70	8	3	14	125	33	21	8	11	11	396	20	12	0	3	6	171	39	18	12	247	15	10	3	129	22	7	4	272	24	19	7	8	5	369	63	32	29	56	18	464	10	9	125	4	325	261	53	39	14	5	6	287	100	4	15	3	11	30	8	7	6	4	11
ASV_75	106	68	31	0	13	18	113	100	47	4	12	16	139	10	3	37	8	60	93	65	10	4	10	118	38	13	0	8	2	412	20	4	2	3	4	167	48	11	4	250	13	6	3	114	22	5	6	312	18	17	3	6	4	358	87	33	19	53	18	447	12	8	110	8	329	268	45	52	16	10	7	322	90	11	10	4	10	22	4	3	2	3	9
ASV_76	3	60	129	0	43	154	1	19	90	75	34	243	0	44	47	48	82	0	10	53	44	37	151	1	37	114	62	75	89	1	7	8	8	82	146	0	4	23	87	0	36	47	76	2	8	31	53	2	22	80	116	235	284	1	1	32	51	53	42	16	41	46	9	17	2	2	21	73	81	185	200	4	65	80	91	24	202	2	51	81	152	49	178
ASV_77	6	83	100	0	60	13	1	8	23	82	20	92	3	7	125	44	57	0	419	116	10	23	24	0	24	47	19	300	37	1	52	209	41	27	25	0	39	22	7	1	9	60	46	1	25	29	20	0	77	146	65	102	15	1	5	26	115	183	112	2	7	8	94	9	2	1	28	173	88	43	33	0	231	41	141	63	102	3	23	68	246	112	217
ASV_78	85	157	98	0	17	42	40	18	13	15	4	13	26	65	41	11	25	34	58	84	36	39	116	18	104	112	52	24	45	201	28	15	5	27	50	37	59	28	75	103	74	76	50	53	78	46	88	4	126	49	59	49	58	1	47	73	117	120	51	100	95	88	88	3	1	1	95	70	52	70	68	94	84	72	81	13	92	193	106	58	72	18	52
