	AB1	AB1.1	AB1.2	AB1.3	AB1.4	AB1.5	AB2	AB2.1	AB2.2	AB2.3	AB2.4	AB2.5	AB3	AB3.1	AB3.2	AB3.3	AB3.4	Fe1	Fe1.1	Fe1.2	Fe1.3	Fe1.4	Fe1.5	Fe2	Fe2.1	Fe2.2	fe2	Fe2.3	Fe2.4	Fe3	Fe3.1	Fe3.2	Fe3.3	Fe3.4	Fe3.5	NL1	NL1.1	NL1.2	NL1.3	NL2	NL2.1	NL2.2	NL2.3	NL3	NL3.1	NL3.2	NL3.3	NL4	NL4.1	NL4.2	NL4.3	NL4.4	NL4.5	NL5	NL5.1	NL5.2	NL5.3	NL5.4	NL5.5	NL6	NL6.1	NL6.2	NL6.3	NL6.4	NL6.5	S1	S1.1	S1.2	S1.3	S1.4	S1.5	S2	S2.1	S2.2	S2.3	S2.4	S2.5	S3	S3.1	S3.2	S3.3	S3.4	S3.5
ASV_873	9	0	2	0	0	0	8	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	19	2	0	1	0	3	16	1	0	0	1	0	1	1	1	4	1	1	2	1	0	1	1	4	2	0	1	0	0	1	26	1	0	0	0	0	1	0	0	16	0	42	39	0	0	3	0	0	3	0	0	0	2	0	0	1	0	0	0	0
ASV_874	0	10	25	0	0	5	0	3	2	0	0	5	0	5	5	2	0	0	0	0	2	2	4	0	4	3	1	2	3	0	0	0	0	3	3	1	0	0	6	0	3	1	0	0	1	2	2	0	2	1	3	4	2	0	2	0	9	2	4	3	3	1	0	0	0	0	4	4	3	7	6	0	2	3	5	0	3	0	8	9	14	4	10
ASV_875	0	1	3	0	3	6	0	32	14	2	2	1	3	4	5	1	1	1	0	2	2	0	5	0	1	8	0	3	3	20	0	0	1	3	1	0	2	0	0	5	2	2	8	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	3	3	1	0	1	0	0	4	3	7	3	11	1	2	0	1	0	1	14	8	2	4	0	1
ASV_876	0	0	0	0	0	1	0	0	1	125	0	1	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	2	1	0	1	0	0	0	4	0	1	0	0	0	0	0	4	0	5	0	0	4	0	0	1	1	0	1	12	0	4	0	1	24	1	0	1	0	5	0	2	1	0	0	8	1	0	0
ASV_877	0	0	0	0	1	0	0	0	0	207	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	1	1	1	1	0	0	0	0	0	0
ASV_878	18	0	3	0	0	0	0	0	0	0	0	0	2	0	0	6	1	0	0	0	0	0	0	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	118	0	1	0	5	0	19	0	0	0	0	0	0	0	0	0	3	1	33	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_879	1	5	14	0	9	5	0	0	0	1	1	0	0	0	1	1	1	0	7	1	0	0	2	0	0	0	1	8	3	0	7	21	5	1	8	0	3	2	0	0	0	5	0	0	1	1	0	0	2	1	1	0	0	0	0	11	20	13	4	0	2	2	4	0	0	0	1	7	3	1	9	0	18	0	1	0	0	0	2	1	1	1	1
ASV_880	0	4	6	0	0	2	0	1	1	1	0	1	0	4	1	1	3	0	0	0	9	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	6	5	0	2	0	1	0	0	0	0	0	0	0	0	102	8	0	0	2	0	5	0	0	0	0	1	0	0	0	0	4	16	14	5	7
ASV_881	0	1	0	0	9	57	0	6	12	0	34	0	0	0	0	2	6	0	1	0	0	5	20	0	0	0	0	8	7	0	1	4	0	10	20	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	2	0	0	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV_882	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	102	41	18	6	18	0	0	0	0	0	0	0	2	2	5	0	0	0	0	0	2	7	12	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
