"","sample","bottle","bottle_number","sample_time","spike","spike_time","days","Fe.2.mg_L","Fe.3.mg_L","Fe_total.Mg_L","sulfide..ug.L."
"NL5.1","NL5.1","NL5","NL5t2","T2","Control","NLT2",20,NA,NA,NA,""
"NL5.2","NL5.2","NL5","NL5t3","T3","Control","NLT3",29,NA,NA,NA,""
"NL5.3","NL5.3","NL5","NL5t4","T4","Control","NLT4",40,NA,NA,NA,""
"NL5.4","NL5.4","NL5","NL5t5","T5","Control","NLT5",50,NA,NA,NA,""
"NL5.5","NL5.5","NL5","NL5t7","T6","Control","NLT6",65,23,20,43,"5200"
"NL6","NL6","NL6","NL6t1","T1","Control","NLT1",6,NA,NA,NA,""
"NL6.1","NL6.1","NL6","NL6t2","T2","Control","NLT2",20,NA,NA,NA,""
"NL6.2","NL6.2","NL6","NL6t3","T3","Control","NLT3",29,NA,NA,NA,""
"NL6.3","NL6.3","NL6","NL6t4","T4","Control","NLT4",40,NA,NA,NA,""
"NL6.4","NL6.4","NL6","NL6t5","T5","Control","NLT5",50,NA,NA,NA,""
"NL6.5","NL6.5","NL6","NL6t7","T6","Control","NLT6",65,89,15,104,"4800"
"S1","S1","S1","S1t1","T1","Na2SO4","ST1",6,NA,NA,NA,""
"S1.1","S1.1","S1","S1t2","T2","Na2SO4","ST2",20,NA,NA,NA,""
"S1.2","S1.2","S1","S1t3","T3","Na2SO4","ST3",29,NA,NA,NA,""
"S1.3","S1.3","S1","S1t4","T4","Na2SO4","ST4",40,NA,NA,NA,""
"S1.4","S1.4","S1","S1t5","T5","Na2SO4","ST5",50,NA,NA,NA,""
"S1.5","S1.5","S1","S1t7","T6","Na2SO4","ST6",65,55,9,64,"5400"
"S2","S2","S2","S2t1","T1","Na2SO4","ST1",6,NA,NA,NA,""
"S2.1","S2.1","S2","S2t2","T2","Na2SO4","ST2",20,NA,NA,NA,""
"S2.2","S2.2","S2","S2t3","T3","Na2SO4","ST3",29,NA,NA,NA,""
"S2.3","S2.3","S2","S2t4","T4","Na2SO4","ST4",40,NA,NA,NA,""
"S2.4","S2.4","S2","S2t5","T5","Na2SO4","ST5",50,NA,NA,NA,""
"S2.5","S2.5","S2","S2t7","T6","Na2SO4","ST6",65,83,17,100,"6000"
"S3","S3","S3","S3t1","T1","Na2SO4","ST1",6,NA,NA,NA,""
"S3.1","S3.1","S3","S3t2","T2","Na2SO4","ST2",20,NA,NA,NA,""
"S3.2","S3.2","S3","S3t3","T3","Na2SO4","ST3",29,NA,NA,NA,""
"S3.3","S3.3","S3","S3t4","T4","Na2SO4","ST4",40,NA,NA,NA,""
"S3.4","S3.4","S3","S3t5","T5","Na2SO4","ST5",50,NA,NA,NA,""
"S3.5","S3.5","S3","S3t7","T6","Na2SO4","ST6",65,163,27,190,"9300"
